Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
cmp_dtuple_rec_with_match_bytes,0.18,0.53,0.28180000000000005
PTI_context::itemize,0.18,0.46,0.2811999999999999
Log_file_handle::fsync,0.13,0.51,0.27970000000000006
MYSQL_BIN_LOG::change_stage,0.2,0.45,0.2792
log_flusher,0.13,0.52,0.2792
Item_func::fix_func_arg,0.19,0.48,0.27890000000000004
IndexRangeScanIterator::shared_reset,0.19,0.48,0.27330000000000004
Item_bool_func2::resolve_type,0.2,0.45,0.27290000000000003
JOIN::create_access_paths,0.19,0.5,0.2693000000000001
create_ref_for_key,0.18,0.44,0.2665
pthread_cond_broadcast@@GLIBC_2.3.2,0.18,0.43,0.26300000000000007
check_table_access,0.16,0.47,0.2602
create_tmp_table,0.17,0.45,0.25710000000000005
Lex_hash::get_hash_symbol,0.17,0.42,0.2519000000000001
ovl_write_iter,0.16,0.53,0.2508000000000001
Protocol_classic::send_eof,0.16,0.4,0.24860000000000007
raw_spin_rq_lock_nested,0.17,0.42,0.24680000000000002
JOIN::create_root_access_path_for_join,0.16,0.44,0.24350000000000022
MEM_ROOT::AllocSlow,0.17,0.42,0.24270000000000014
reweight_entity,0.17,0.4,0.2425
lock_rec_insert_check_and_lock,0.12,0.42,0.24059999999999998
find_field_in_table_ref,0.16,0.39,0.23770000000000008
unix_stream_read_actor,0.15,0.41,0.23760000000000006
Optimize_table_order::choose_table_order,0.16,0.43,0.23750000000000007
check_access,0.14,0.45,0.23700000000000013
check_trx_exists,0.15,0.41,0.2362000000000001
Session_sysvars_tracker::mark_as_changed,0.16,0.4,0.23569999999999997
InitIndexRangeScan,0.16,0.4,0.23329999999999995
fold_condition,0.16,0.41,0.2328000000000001
AggregateIterator::Read,0.16,0.37,0.23220000000000002
skb_copy_datagram_iter,0.15,0.4,0.23160000000000008
prepare_task_switch,0.14,0.4,0.22930000000000011
xfs_file_buffered_write,0.14,0.45,0.2256
PT_select_item_list::contextualize,0.15,0.38,0.22470000000000012
Protocol_classic::send_field_metadata,0.14,0.37,0.22290000000000001
__skb_datagram_iter,0.14,0.39,0.22260000000000016
kmem_cache_alloc_node,0.16,0.37,0.2205
xlog_wait_on_iclog,0.1,0.52,0.21930000000000002
MEM_ROOT::ForceNewBlock,0.15,0.38,0.2185000000000001
Protocol_classic::send_ok,0.15,0.34,0.21850000000000008
kmalloc_reserve,0.15,0.37,0.2181000000000001
__check_object_size.part.0,0.13,0.38,0.21789999999999998
JOIN::destroy,0.14,1.36,0.21660000000000001
_raw_spin_lock_irqsave,0.15,0.36,0.21610000000000007
pfs_start_stage_v1,0.14,0.37,0.21570000000000009
vfs_write,0.13,0.4,0.21459999999999993
mtr_t::commit,0.15,0.38,0.21360000000000007
add_key_fields,0.14,0.36,0.2117000000000001
PT_update::make_cmd,0.13,0.37,0.20710000000000003
page_rec_get_n_recs_before,0.14,0.37,0.20390000000000008
rec_init_offsets_comp_ordinary,0.12,0.4,0.20379999999999998
srv_worker_thread,0.14,0.34,0.20350000000000004
MEM_ROOT::AllocBlock,0.14,0.35,0.20259999999999997
pfs_memory_alloc_vc,0.13,0.35,0.20130000000000003
__pthread_mutex_unlock_usercnt,0.14,0.36,0.20020000000000004
do_iter_readv_writev,0.12,0.37,0.1959
__perf_event_task_sched_out,0.12,0.34,0.19490000000000002
do_iter_write,0.12,0.37,0.19340000000000007
clock_gettime,0.11,0.35,0.1924
__fget_light,0.12,0.35,0.1900000000000001
create_table_info_t::create_table_def,0.19,0.19,0.19
PTI_simple_ident_ident::itemize,0.12,0.32,0.1894
pfs_start_statement_vc,0.13,0.32,0.18820000000000003
mysql_unlock_read_tables,0.11,0.3,0.18450000000000016
MYSQL_BIN_LOG::process_flush_stage_queue,0.12,0.31,0.18350000000000005
handler::ha_reset,0.11,0.32,0.18340000000000015
LEX::new_top_level_query,0.12,0.3,0.18260000000000004
init_ref_part,0.12,0.32,0.1820000000000001
sockfd_lookup_light,0.11,0.37,0.17910000000000004
perf_event_context_sched_out,0.1,0.32,0.17740000000000006
os_file_write_func,0.1,0.35,0.17690000000000008
__libc_pwrite64,0.1,0.36,0.1756000000000001
ConnectJoins,0.11,0.32,0.1739000000000001
cfree,0.1,0.33,0.1737000000000001
__kmalloc_node_track_caller,0.11,0.3,0.17310000000000003
MDL_context::find_ticket,0.11,0.3,0.17120000000000013
sched_tick,0.13,0.21,0.17059999999999995
PTI_comp_op::itemize,0.11,0.26,0.17010000000000008
__x64_sys_pwrite64,0.09,0.34,0.16920000000000002
THD::decide_logging_format,0.11,0.26,0.1672000000000001
security_socket_recvmsg,0.11,0.28,0.16670000000000015
MDL_context::release_locks_stored_before,0.11,0.3,0.1664000000000001
Item_func_between::fix_fields,0.1,0.3,0.16630000000000014
LEX::new_query,0.1,0.26,0.16440000000000018
Optimize_table_order::greedy_search,0.1,0.3,0.16410000000000002
PTI_expr_with_alias::itemize,0.11,0.28,0.16300000000000012
skb_copy_datagram_from_iter,0.11,0.28,0.16300000000000003
__kmem_cache_alloc_node,0.1,0.27,0.16150000000000006
net_flush,0.11,0.27,0.16030000000000005
fpregs_restore_userregs,0.11,0.33,0.1596000000000001
btr_cur_latch_leaves,0.01,0.29,0.15429999999999994
