Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
tcp_recvmsg,0.41,0.64,0.5499999999999999
Double_write::write_data_pages,0.41,0.64,0.5435000000000001
ext4_io_submit,0.39,0.66,0.5419999999999999
ipv4_conntrack_local,0.43,0.64,0.5415
MDL_context::acquire_lock,0.42,0.65,0.5400000000000001
THD::cleanup_after_query,0.42,0.63,0.536
__blk_mq_run_hw_queue,0.45,0.65,0.5359999999999999
blk_mq_sched_dispatch_requests,0.45,0.65,0.535
jbd2__journal_start,0.44,0.66,0.5345
trx_commit,0.37,0.62,0.5315
trx_commit_low,0.37,0.62,0.5269999999999999
__raw_spin_unlock_irq,0.4,0.6,0.5235000000000001
fill_record,0.42,0.6,0.5215000000000001
blk_mq_do_dispatch_sched,0.44,0.65,0.5205
Item_cond::fix_fields,0.38,0.65,0.5199999999999999
MYSQL_BIN_LOG::process_flush_stage_queue,0.42,0.61,0.5115
finish_wait,0.45,0.59,0.5085
io_submit,0.41,0.62,0.5065000000000001
sys_ppoll,0.39,0.62,0.5035000000000001
radix_tree_descend,0.41,0.61,0.502
Table_columns_view<std::function<bool,0.39,0.68,0.502
BlockReporter::is_checksum_valid_crc32,0.39,0.66,0.495
mtr_t::commit,0.41,0.61,0.4925
Query_result_send::send_result_set_metadata,0.41,0.6,0.4915
Log_file_handle::fsync,0.45,0.53,0.48600000000000004
Log_file_handle::write,0.42,0.54,0.48550000000000004
lex_start,0.4,0.61,0.48450000000000004
cmp_data,0.36,0.63,0.4840000000000001
sys_io_submit,0.41,0.59,0.4835
os_event::wait_time_low,0.43,0.57,0.48150000000000015
do_io_submit,0.41,0.58,0.48
trx_purge,0.34,0.57,0.4789999999999998
mysql_lock_tables,0.37,0.67,0.47750000000000004
buf_block_alloc,0.36,0.59,0.47750000000000004
Item::save_in_field,0.42,0.54,0.47400000000000003
blkdev_issue_flush,0.35,0.6,0.47050000000000003
btr_page_reorganize_low,0.36,0.54,0.4590000000000001
build_equal_items,0.37,0.55,0.45899999999999996
nf_conntrack_in,0.36,0.58,0.4575
ext4_mark_inode_dirty,0.37,0.54,0.4445
handler::ha_index_init,0.38,0.55,0.4440000000000001
THD::send_result_metadata,0.32,0.52,0.44000000000000006
MDL_context::try_acquire_lock_impl,0.34,0.55,0.437
find_field_in_table_ref,0.38,0.49,0.4285000000000001
MYSQL_BIN_LOG::flush_thread_caches,0.35,0.52,0.4240000000000001
blk_mq_dispatch_rq_list,0.35,0.5,0.4215
__find_lock_page,0.33,0.53,0.4205
binlog_cache_data::flush,0.35,0.52,0.4205
PT_update::make_cmd,0.32,0.55,0.41900000000000004
add_pke,0.34,0.5,0.41200000000000003
do_sys_poll,0.29,0.53,0.41000000000000003
pthread_cond_timedwait@@GLIBC_2.3.2,0.37,0.46,0.41
start_this_handle,0.3,0.53,0.4090000000000001
futex_wait_queue_me,0.29,0.49,0.409
